<<<<<<< Updated upstream
Itinerary: ['earth', 'mars', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [0.2831217564089576, 0.09872712210886431, 0.6976421633526373, 8.920508958129542]
1     : 2022-01-01, [0.2922387101926058, 0.0994790389403622, 0.704372541207806, 9.153909709659226]
2     : 2022-01-01, [0.30197344127686065, 0.09952972118618936, 0.7131171045494741, 9.385379732987477]
3     : 2022-01-01, [0.31139624075348826, 0.09879097821892956, 0.7189831402298532, 9.62082964079773]
4     : 2022-01-01, [0.32161010452785266, 0.09874435303137749, 0.7234795111349714, 9.856166031305799]
5     : 2022-01-01, [0.3310748533243645, 0.1006168046552759, 0.7309903047870477, 10.087318037233313]
6     : 2022-01-01, [0.34157821576105524, 0.09900813363506217, 0.7344083583629175, 10.325005292240965]
7     : 2022-01-01, [0.35222794334454777, 0.09877419353913063, 0.7372098989120326, 10.561787964204289]
8     : 2022-01-01, [0.3631277624298781, 0.09850271949405001, 0.7399666677661718, 10.7984028503099]
9     : 2022-01-01, [0.3908506132188681, 0.5583544951680827, 0.5346887928074839, 10.766106098805565]
10    : 2022-01-01, [0.4026781649200144, 0.5664533001703975, 0.5305650449480642, 11.000303489961523]
11    : 2022-01-01, [0.4148570225780665, 0.5746821369806377, 0.522006670694453, 11.238454169746843]
12    : 2022-01-01, [0.42824802229277464, 0.5801407108915697, 0.5125728591348856, 11.47903840768077]
13    : 2022-01-01, [0.4406922749644803, 0.5879396437547076, 0.5058063001734733, 11.71556178110734]
14    : 2022-01-01, [0.4544322005829057, 0.596739025447447, 0.493638425493457, 11.95519034847619]
15    : 2022-01-01, [0.4686113256838467, 0.601849785131036, 0.48120422533276275, 12.198334663852354]
16    : 2022-01-01, [0.48404234305602634, 0.6097039602997771, 0.46673944314639393, 12.439514253497803]
17    : 2022-01-01, [0.49853470509233505, 0.6162628097582485, 0.450389834470311, 12.684812650679106]
18    : 2022-01-01, [0.51335526099223, 0.6248790881878644, 0.4332182175134746, 12.92854743330643]
19    : 2022-01-01, [0.5297432555805788, 0.6306077269185246, 0.4158506845728356, 13.173798332928062]
20    : 2022-01-01, [0.4853103982506234, 0.5669383018561652, 2.0277104790113647, 11.920040820881846]
21    : 2022-01-01, [0.5392514255584276, 0.5336546058815796, 2.1226262017545423, 12.05446776680545]
22    : 2022-01-01, [0.5569101287816618, 0.5387811535601601, 2.1313345708897486, 12.272974146768428]
23    : 2022-01-01, [0.5764508530771373, 0.5453579853547081, 2.133699982009481, 12.494491179558675]
24    : 2022-01-01, [0.5984141759079208, 0.5495923263002768, 2.1308361814565577, 12.721157316335244]
25    : 2022-01-01, [0.6440847804043293, 0.5342680437706763, 2.058269108107594, 13.013378067717403]
26    : 2022-01-01, [0.669771723463645, 0.5377616158477727, 2.045176540294517, 13.247290120394068]
27    : 2022-01-01, [0.6979897021688563, 0.5407148715534579, 2.0240021794869825, 13.487293246790705]
28    : 2022-01-01, [0.7243735966661341, 0.5458269145357594, 2.007963477458454, 13.721836011339654]
29    : 2022-01-01, [0.7553904068884127, 0.5476417482872994, 1.9799278128073285, 13.96704003201696]
30    : 2022-01-01, [0.7873203595470437, 0.5517231086424167, 1.945507893004676, 14.215448638805864]
31    : 2022-01-01, [0.8215684840513794, 0.554760379615542, 1.906767788486845, 14.466903347846234]
32    : 2022-01-01, [0.8568051532344009, 0.5551914573760145, 1.860372680987648, 14.727630708401938]
33    : 2022-01-01, [0.8950963229852974, 0.5602644146646599, 1.8186564103722704, 14.975982851977774]
34    : 2022-01-01, [0.9327690612822018, 0.5609984933237884, 1.7662046950276251, 15.240027750366384]
35    : 2022-01-01, [0.9718862653900471, 0.5648881666571979, 1.7070732846032737, 15.506152283349481]
36    : 2022-01-01, [1.0136955233801053, 0.5663824130045675, 1.641299271206958, 15.778622792408369]
37    : 2022-01-01, [1.055466525225215, 0.5657436931765966, 1.5795506136354633, 16.049239167962725]
38    : 2022-01-01, [0.08873439399923821, 0.597996967784571, 1.591235066761517, 17.222033571454677]
39    : 2022-01-01, [0.11358355450312613, 0.5979200954195246, 1.5172924460650867, 17.521203904012264]
40    : 2022-01-01, [0.13925228623119865, 0.598695563117712, 1.435579026719906, 17.826473123931184]
41    : 2022-01-01, [0.4666070707309056, 0.9158460938609467, 1.1755795495591117, 17.691967285849035]
42    : 2022-01-01, [0.4778919432413267, 0.9243130591662144, 1.1528009903347125, 17.944994007257748]
43    : 2022-01-01, [0.6835703304356744, 0.4299189671380749, 1.8528733681007636, 17.783637334325487]
44    : 2022-01-01, [0.6968146853571325, 0.4363189821134824, 1.8328076707991268, 18.034058661730256]
45    : 2022-01-01, [0.7125768492498248, 0.44556102192730634, 1.8178738495066114, 18.273988279316256]
46    : 2022-01-01, [0.7272888631342233, 0.45606822696884447, 1.7981729371131179, 18.518469972783812]
47    : 2022-01-01, [0.7872658306752623, 0.6160369718741411, 2.9960876528838716, 17.350609544566726]
48    : 2022-01-01, [0.8907099671694745, 0.8526932585710868, 2.6113767905690293, 17.645219983690414]
49    : 2022-01-01, [0.9146732291633524, 0.8650546616862725, 2.5885465064616655, 17.88172560268871]
50    : 2022-01-01, [0.9366267632734564, 0.8751943172926157, 2.5708730765445567, 18.117305842889373]
51    : 2022-01-01, [1.3160213583842342, 0.36721081060364497, 1.645879735864931, 19.42088809514719]
52    : 2022-01-01, [1.354715447570245, 0.350075093028396, 1.574514217125363, 19.720695242275998]
53    : 2022-01-01, [1.3938342968000568, 0.34055871450760106, 1.512807992358482, 20.00279899633386]
54    : 2022-01-01, [1.4350805814024479, 0.32848629994157785, 1.4372464149360764, 20.299186703719897]
55    : 2022-01-01, [0.11892477073303724, 0.327096290341024, 1.4289807331310886, 21.874998205794853]
56    : 2022-01-01, [0.14006530768186504, 0.31200798272002955, 1.33433707555845, 22.213589634039657]
57    : 2022-01-01, [0.16495811746875338, 0.2896355100554149, 1.2281705031278227, 22.567235869348007]
58    : 2022-01-01, [0.1883509467812552, 0.25938889587922587, 1.1183684281185673, 22.933891729220953]
59    : 2022-01-01, [0.3546987347756006, 0.23831751273207322, 3.9349592463748833, 20.222024506117442]
60    : 2022-01-10, [0.2757934970889992, 0.09692477171134001, 0.6807611357559294, 8.946520595443731]
61    : 2022-01-10, [0.2845666670928723, 0.09761027362653568, 0.6892243200060794, 9.178598739274513]
62    : 2022-01-10, [0.2944081722750994, 0.09640369960794451, 0.6951559422274284, 9.414032185889528]
63    : 2022-01-10, [0.30365784419866126, 0.09700834791174906, 0.7004820854953108, 9.648851722394278]
64    : 2022-01-10, [0.3136064564546527, 0.09693319224138788, 0.7073158613700948, 9.882144489933864]
65    : 2022-01-10, [0.3236793830420717, 0.09822276171205081, 0.7139668913061881, 10.11413096393969]
66    : 2022-01-10, [0.3334545971499228, 0.09725359884835941, 0.7144360909477843, 10.354855713053933]
67    : 2022-01-10, [0.3439068883792377, 0.09700803665123503, 0.719895978626729, 10.589189096342796]
68    : 2022-01-10, [0.35481707603583784, 0.09678152458992445, 0.7190451335719111, 10.829356265802328]
69    : 2022-01-10, [0.3817826119970388, 0.5565042464768942, 0.5140259605424887, 10.797687180983578]
70    : 2022-01-10, [0.39364399703730873, 0.5648316005783487, 0.5056536086482989, 11.035870793736045]
71    : 2022-01-10, [0.40557716142983585, 0.5710880417024509, 0.5006907407877239, 11.272644056079988]
72    : 2022-01-10, [0.4189330339880455, 0.5784621716613155, 0.4907433332533646, 11.511861461097274]
73    : 2022-01-10, [0.4311605736398949, 0.5880081858732384, 0.48285732922805047, 11.747973911258816]
74    : 2022-01-10, [0.44506244973077075, 0.5933798953703678, 0.4708217530359383, 11.990735901862923]
75    : 2022-01-10, [0.4590522794397881, 0.6002951856410164, 0.4567830969908444, 12.23386943792835]
76    : 2022-01-10, [0.47308515477925644, 0.608828094735771, 0.4411745877348119, 12.47691216275016]
77    : 2022-01-10, [0.48752635983349013, 0.6155127092157697, 0.42982507383518753, 12.717135857115553]
78    : 2022-01-10, [0.5035875324214795, 0.6234938305845166, 0.4079555632251947, 12.964963073768809]
79    : 2022-01-10, [0.4616260066133128, 0.5587282221738464, 2.0012627210962397, 11.7283830501166]
80    : 2022-01-10, [0.5112029133796883, 0.5277429509560346, 2.092579088054966, 11.86847504760931]
81    : 2022-01-10, [0.5285539476654668, 0.5331599071136931, 2.103186978254012, 12.08509916696683]
82    : 2022-01-10, [0.5477353729433806, 0.537905786245175, 2.1068662740771997, 12.307492566734247]
83    : 2022-01-10, [0.5654311569749978, 0.5448908213456473, 2.111653751330965, 12.52802427034839]
84    : 2022-01-10, [0.6079145233409253, 0.530405921047512, 2.047477550869308, 12.814202004742254]
85    : 2022-01-10, [0.6332765714585415, 0.5322304771382015, 2.0320986668298144, 13.05239428457344]
86    : 2022-01-10, [0.6583360815345758, 0.5375581722734365, 2.0207724316544238, 13.283333314537563]
87    : 2022-01-10, [0.6843765238095009, 0.5409050560589335, 2.0034474484862117, 13.521270971645356]
88    : 2022-01-10, [0.7128683344380841, 0.5435742492502474, 1.9841050749504188, 13.75945234136125]
89    : 2022-01-10, [0.7435839148214908, 0.5475918600396446, 1.9560603307488802, 14.002763894389986]
90    : 2022-01-10, [0.7749444086135939, 0.5513952690448196, 1.9244266713643454, 14.24923365097724]
91    : 2022-01-10, [0.8073239538322229, 0.5527784246323149, 1.887436445654732, 14.50246117588073]
92    : 2022-01-10, [0.841612496431608, 0.5575750887802938, 1.8441478258270239, 14.756664588961076]
93    : 2022-01-10, [0.8783895266637352, 0.5588129905512196, 1.8005368196333444, 15.0122606631517]
94    : 2022-01-10, [0.9142882228104423, 0.5636165669506641, 1.7534672996416265, 15.268627910597266]
95    : 2022-01-10, [0.9538722652940704, 0.5654384080894926, 1.6992985718738203, 15.531390754742617]
96    : 2022-01-10, [0.9906178116221841, 0.5675182120010619, 1.637098805326868, 15.804765171049885]
97    : 2022-01-10, [1.032080119555709, 0.5672426171730375, 1.575301114864131, 16.075376148407123]
98    : 2022-01-10, [1.071792976604123, 0.5697485247838149, 1.5063093406757164, 16.352149157936346]
99    : 2022-01-10, [0.0891792751788296, 0.6033883164881477, 1.519001222359162, 17.53843118597386]
100   : 2022-01-10, [0.11129086311872735, 0.6011815896058896, 1.4438607175556115, 17.84366682971977]
101   : 2022-01-10, [0.13631746844035963, 0.6030511884389119, 1.3715063945805177, 18.13912494854021]
102   : 2022-01-10, [0.4529206192079088, 0.9261079976209736, 1.1565743418480634, 17.964397041323057]
